===========  Loading files ===========
Loading richards.js
===========  Data flow analysis ===========
richards.js:54:11 (node transfers: 746, worklist size: 1)
richards.js:575:1 (node transfers: 747, worklist size: 1)
richards.js:576:3 (node transfers: 748, worklist size: 1)
richards.js:580:13 (node transfers: 763, worklist size: 1)
richards.js:580:3 (node transfers: 764, worklist size: 1)
richards.js:581:1 (node transfers: 765, worklist size: 1)
richards.js:54:3 (node transfers: 766, worklist size: 1)
richards.js:55:11 (node transfers: 771, worklist size: 1)
richards.js:575:1 (node transfers: 772, worklist size: 1)
richards.js:576:3 (node transfers: 773, worklist size: 1)
richards.js:580:13 (node transfers: 788, worklist size: 1)
richards.js:580:3 (node transfers: 789, worklist size: 1)
richards.js:581:1 (node transfers: 790, worklist size: 1)
richards.js:55:3 (node transfers: 791, worklist size: 1)
richards.js:56:11 (node transfers: 796, worklist size: 1)
richards.js:575:1 (node transfers: 797, worklist size: 1)
richards.js:576:3 (node transfers: 798, worklist size: 1)
richards.js:580:13 (node transfers: 813, worklist size: 1)
richards.js:580:3 (node transfers: 814, worklist size: 1)
richards.js:581:1 (node transfers: 815, worklist size: 1)
richards.js:56:3 (node transfers: 816, worklist size: 1)
richards.js:57:3 (node transfers: 823, worklist size: 1)
richards.js:186:38 (node transfers: 824, worklist size: 2)
richards.js:194:38 (node transfers: 825, worklist size: 2)
richards.js:207:37 (node transfers: 866, worklist size: 2)
richards.js:207:3 (node transfers: 867, worklist size: 2)
richards.js:208:1 (node transfers: 868, worklist size: 3)
richards.js:239:31 (node transfers: 869, worklist size: 2)
richards.js:240:3 (node transfers: 870, worklist size: 2)
richards.js:240:21 (node transfers: 878, worklist size: 2)
richards.js:320:1 (node transfers: 879, worklist size: 3)
richards.js:321:3 (node transfers: 880, worklist size: 3)
richards.js:327:5 (node transfers: 899, worklist size: 4)
richards.js:329:5 (node transfers: 902, worklist size: 4)
richards.js:331:1 (node transfers: 905, worklist size: 3)
richards.js:240:3 (node transfers: 906, worklist size: 2)
richards.js:243:1 (node transfers: 918, worklist size: 2)
richards.js:208:1 (node transfers: 919, worklist size: 2)
richards.js:59:3 (node transfers: 920, worklist size: 1)
richards.js:59:3 (node transfers: 926, worklist size: 1)
richards.js:216:37 (node transfers: 927, worklist size: 1)
richards.js:217:3 (node transfers: 928, worklist size: 1)
richards.js:217:37 (node transfers: 935, worklist size: 1)
richards.js:456:1 (node transfers: 936, worklist size: 1)
richards.js:457:3 (node transfers: 937, worklist size: 1)
richards.js:459:1 (node transfers: 943, worklist size: 1)
richards.js:217:3 (node transfers: 944, worklist size: 1)
richards.js:218:1 (node transfers: 945, worklist size: 1)
richards.js:61:3 (node transfers: 946, worklist size: 1)
richards.js:61:3 (node transfers: 952, worklist size: 1)
richards.js:216:37 (node transfers: 953, worklist size: 2)
richards.js:217:3 (node transfers: 954, worklist size: 2)
richards.js:217:37 (node transfers: 961, worklist size: 2)
richards.js:217:3 (node transfers: 962, worklist size: 2)
richards.js:218:1 (node transfers: 963, worklist size: 2)
richards.js:63:3 (node transfers: 964, worklist size: 1)
richards.js:63:3 (node transfers: 967, worklist size: 1)
richards.js:248:32 (node transfers: 968, worklist size: 1)
richards.js:249:3 (node transfers: 969, worklist size: 1)
richards.js:250:10 (node transfers: 973, worklist size: 1)
richards.js:251:9 (node transfers: 978, worklist size: 1)
richards.js:251:9 (node transfers: 982, worklist size: 1)
richards.js:369:48 (node transfers: 983, worklist size: 1)
richards.js:370:11 (node transfers: 984, worklist size: 1)
richards.js:370:45 (node transfers: 991, worklist size: 2)
richards.js:371:1 (node transfers: 995, worklist size: 1)
richards.js:251:5 (node transfers: 996, worklist size: 1)
richards.js:252:7 (node transfers: 997, worklist size: 2)
richards.js:250:10 (node transfers: 1003, worklist size: 2)
richards.js:251:9 (node transfers: 1008, worklist size: 2)
richards.js:251:9 (node transfers: 1012, worklist size: 2)
richards.js:369:48 (node transfers: 1013, worklist size: 2)
richards.js:370:11 (node transfers: 1014, worklist size: 2)
richards.js:370:45 (node transfers: 1021, worklist size: 3)
richards.js:371:1 (node transfers: 1025, worklist size: 2)
richards.js:251:5 (node transfers: 1026, worklist size: 2)
richards.js:252:7 (node transfers: 1027, worklist size: 2)
richards.js:250:10 (node transfers: 1033, worklist size: 2)
richards.js:251:9 (node transfers: 1038, worklist size: 3)
richards.js:251:9 (node transfers: 1042, worklist size: 4)
richards.js:251:5 (node transfers: 1043, worklist size: 4)
richards.js:252:7 (node transfers: 1044, worklist size: 4)
richards.js:254:7 (node transfers: 1050, worklist size: 3)
richards.js:255:25 (node transfers: 1061, worklist size: 3)
richards.js:384:34 (node transfers: 1062, worklist size: 3)
richards.js:386:7 (node transfers: 1064, worklist size: 3)
richards.js:387:14 (node transfers: 1069, worklist size: 4)
richards.js:392:7 (node transfers: 1082, worklist size: 6)
richards.js:395:14 (node transfers: 1085, worklist size: 6)
richards.js:390:7 (node transfers: 1087, worklist size: 5)
richards.js:397:10 (node transfers: 1090, worklist size: 4)
richards.js:397:10 (node transfers: 1095, worklist size: 4)
richards.js:525:29 (node transfers: 1096, worklist size: 7)
richards.js:526:7 (node transfers: 1099, worklist size: 7)
richards.js:527:9 (node transfers: 1103, worklist size: 8)
